MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA
114,10/11/10,Everton,Bolton,1,1,D,78,75
115,10/11/10,Man City,Man United,0,0,D,82,82
116,10/11/10,Newcastle,Blackburn,1,2,A,74,75
117,10/11/10,West Ham,West Brom,2,2,D,75,73
118,10/11/10,Wigan,Liverpool,1,1,D,73,80
119,10/11/10,Wolves,Arsenal,0,2,A,73,81
120,13/11/10,Aston Villa,Man United,2,2,D,78,82
121,13/11/10,Man City,Birmingham,0,0,D,82,76
122,13/11/10,Newcastle,Fulham,0,0,D,74,77
123,13/11/10,Stoke,Liverpool,2,0,H,74,80
124,13/11/10,Tottenham,Blackburn,4,2,H,80,75
125,13/11/10,West Ham,Blackpool,0,0,D,75,69
126,13/11/10,Wigan,West Brom,1,0,H,73,73
127,13/11/10,Wolves,Bolton,2,3,A,73,75
128,14/11/10,Chelsea,Sunderland,0,3,A,83,75
129,14/11/10,Everton,Arsenal,1,2,A,78,81
130,20/11/10,Arsenal,Tottenham,2,3,A,81,80
131,20/11/10,Birmingham,Chelsea,1,0,H,76,83
132,20/11/10,Blackpool,Wolves,2,1,H,69,73
133,20/11/10,Bolton,Newcastle,5,1,H,75,74
134,20/11/10,Liverpool,West Ham,3,0,H,80,75
135,20/11/10,Man United,Wigan,2,0,H,82,73
136,20/11/10,West Brom,Stoke,0,3,A,73,74
137,21/11/10,Blackburn,Aston Villa,2,0,H,75,78
138,21/11/10,Fulham,Man City,1,4,A,77,82
139,22/11/10,Sunderland,Everton,2,2,D,75,78
140,27/11/10,Aston Villa,Arsenal,2,4,A,78,81
141,27/11/10,Bolton,Blackpool,2,2,D,75,69
142,27/11/10,Everton,West Brom,1,4,A,78,73
143,27/11/10,Fulham,Birmingham,1,1,D,77,76
144,27/11/10,Man United,Blackburn,7,1,H,82,75
145,27/11/10,Stoke,Man City,1,1,D,74,82
146,27/11/10,West Ham,Wigan,3,1,H,75,73
147,27/11/10,Wolves,Sunderland,3,2,H,73,75
148,28/11/10,Newcastle,Chelsea,1,1,D,74,83
149,28/11/10,Tottenham,Liverpool,2,1,H,80,80
150,04/12/10,Arsenal,Fulham,2,1,H,81,77
151,04/12/10,Birmingham,Tottenham,1,1,D,76,80
152,04/12/10,Blackburn,Wolves,3,0,H,75,73
153,04/12/10,Chelsea,Everton,1,1,D,83,78
154,04/12/10,Man City,Bolton,1,0,H,82,75
155,04/12/10,Wigan,Stoke,2,2,D,73,74
156,05/12/10,Sunderland,West Ham,1,0,H,75,75
157,05/12/10,West Brom,Newcastle,3,1,H,73,74
158,06/12/10,Liverpool,Aston Villa,3,0,H,80,78
159,11/12/10,Aston Villa,West Brom,2,1,H,78,73
160,11/12/10,Everton,Wigan,0,0,D,78,73
