MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AT_match_played,AT_goal_against,HT_goal_against,HT_goal_differnece,AT_current_standing,HT_match_played,AT_goal_differnece,AT_goal_for,HT_current_standing,HT_goal_for
183,23/12/95,Newcastle,Nott'm Forest,3,1,H,17,24,15,22,28,18,3,27,42,37
184,23/12/95,QPR,Aston Villa,1,0,H,18,14,26,-12,32,18,11,25,15,14
185,23/12/95,Sheffield Weds,Southampton,2,2,D,18,28,27,-1,17,18,-11,17,21,26
186,23/12/95,Tottenham,Bolton,2,2,D,18,34,17,7,9,18,-18,16,33,24
187,23/12/95,Wimbledon,Blackburn,1,1,D,18,24,38,-15,24,18,4,28,14,23
188,24/12/95,Leeds,Man United,3,1,H,18,19,24,-1,35,17,16,35,25,23
189,26/12/95,Arsenal,QPR,3,0,H,19,26,15,9,18,19,-11,15,31,24
190,26/12/95,Blackburn,Man City,2,0,H,19,28,25,4,16,19,-18,10,25,29
191,26/12/95,Chelsea,Wimbledon,1,2,A,19,39,19,-1,15,19,-15,24,28,18
192,26/12/95,Everton,Middlesbrough,4,0,H,19,14,22,1,33,19,9,23,23,23
193,26/12/95,Nott'm Forest,Sheffield Weds,1,0,H,19,29,27,1,22,18,-1,28,28,28
194,26/12/95,Southampton,Tottenham,0,0,D,19,19,30,-11,34,19,7,26,18,19
195,27/12/95,Bolton,Leeds,0,2,A,18,25,36,-18,28,19,1,26,10,18
196,27/12/95,Man United,Newcastle,2,0,H,19,16,22,14,45,19,24,40,35,36
197,30/12/95,Arsenal,Wimbledon,1,3,A,20,40,15,12,18,20,-14,26,34,27
198,30/12/95,Blackburn,Tottenham,2,1,H,20,19,25,6,35,20,7,26,28,31
199,30/12/95,Bolton,Coventry,1,2,A,19,41,38,-20,15,20,-16,25,10,18
200,30/12/95,Chelsea,Liverpool,2,2,D,19,16,21,-2,34,20,18,34,28,19
201,30/12/95,Everton,Leeds,2,0,H,19,25,22,5,31,20,3,28,26,27
202,30/12/95,Man United,QPR,2,1,H,20,29,22,16,18,20,-14,15,38,38
203,30/12/95,Nott'm Forest,Middlesbrough,1,0,H,20,18,27,2,33,19,5,23,31,29
204,01/01/96,Coventry,Southampton,1,1,D,20,30,42,-15,19,20,-11,19,18,27
